feature_shap,feature
0.01277,value__quantile__q_0.05_p12_rougher.input.feed_rate
0.01273,value__mean_p6_rougher.input.feed_pb
0.01266,value__skewness_p120_rougher.input.floatbank10_copper_sulfate
0.01249,encod_val_rougher.input.feed_fe_diff_value__quantile__q_0.95_p24_rougher.input.feed_fe
0.01246,value__mean_second_derivative_central_p24_rougher.input.feed_rate
0.01243,value__linear_trend__attr_slope_p120_rougher.input.feed_fe
0.01239,value__fft_aggregated__aggtype_variance_p120_rougher.input.feed_zn
0.01235,value__maximum_p6_rougher.input.feed_fe_poly_value__quantile__q_0.95_p24_rougher.input.feed_fe
0.01223,rougher.input.feed_sol
0.01221,primary_cleaner.input.copper_sulfate_diff_deriv1_rougher.input.feed_zn
0.01216,rougher.input.feed_fe_poly_deriv1_rougher.input.feed_zn
0.01213,encod_val_rougher.input.feed_zn_poly_value__quantile__q_0.95_p120_rougher.input.feed_fe
0.01204,value__linear_trend__attr_slope_p120_rougher.input.feed_rate
0.01198,value__fft_aggregated__aggtype_variance_p120_rougher.input.floatbank11_xanthate
0.01186,value__quantile__q_0.05_p120_rougher.input.feed_pb
0.01186,encod_val_rougher.input.feed_zn_diff_rougher.input.floatbank10_xanthate
0.01176,value__linear_trend__attr_slope_p24_rougher.input.floatbank10_copper_sulfate
0.01173,rougher.state.floatbank10_a_level_diff_rougher.input.floatbank10_xanthate
0.01170,encod_val_rougher.input.feed_pb_rat_value__quantile__q_0.95_p120_rougher.input.feed_fe
0.01168,value__maximum_p6_rougher.input.feed_fe_poly_encod_val_primary_cleaner.input.feed_size
0.01164,value__minimum_p6_rougher.input.floatbank11_xanthate_poly_value__quantile__q_0.95_p24_rougher.input.feed_fe
0.01163,value__kurtosis_p24_rougher.input.feed_sol
0.01158,encod_val_rougher.input.feed_fe_rat_rougher.input.floatbank10_xanthate
0.01149,value__quantile__q_0.95_p24_rougher.input.feed_fe_poly_encod_val_rougher.input.feed_pb
0.01145,value__min_slope_p24_rougher.input.floatbank10_copper_sulfate
0.01139,value__max_slope_p6_rougher.input.feed_fe
0.01130,value__minimum_p6_rougher.input.floatbank11_xanthate_poly_encod_val_primary_cleaner.input.copper_sulfate
0.01129,value__fft_aggregated__aggtype_centroid_p120_rougher.input.feed_sol
0.01126,diff_rougher.input.floatbank10_copper_sulfate_s2b0
0.01122,value__min_slope_p24_rougher.state.floatbank10_b_air
0.01122,rougher.state.floatbank10_a_level_diff_encod_val_rougher.input.feed_zn
0.01120,value__max_min_diff_p120_rougher.input.feed_rate
0.01119,value__skewness_p120_rougher.input.feed_zn
0.01116,diff_encod_val_rougher.input.feed_fe_s2b0
0.01114,value__mean_p6_rougher.input.floatbank10_copper_sulfate
0.01103,value__kurtosis_p24_rougher.state.floatbank10_b_air
0.01098,encod_val_rougher.input.feed_zn_rat_encod_val_rougher.input.feed_pb
0.01095,value__mean_abs_change_p120_rougher.input.feed_zn
0.01093,value__max_slope_p12_rougher.input.feed_fe
0.01089,primary_cleaner.input.copper_sulfate_poly_encod_dif_rougher.input.feed_pb
0.01080,encod_val_primary_cleaner.input.feed_size_rat_value__quantile__q_0.95_p24_rougher.input.feed_fe
0.01075,value__min_slope_p6_rougher.input.feed_fe
0.01071,value__skewness_p12_rougher.input.feed_fe
0.01064,value__max_slope_p24_rougher.input.floatbank11_xanthate
0.01058,value__minimum_p6_rougher.input.floatbank11_xanthate_poly_encod_dif_rougher.input.feed_pb
0.01057,value__min_slope_p12_rougher.input.floatbank10_copper_sulfate
0.01050,rougher.input.feed_fe_poly_encod_dif_rougher.input.feed_pb
0.01048,encod_dif_rougher.input.feed_pb_poly_encod_val_primary_cleaner.input.copper_sulfate
0.01048,value__quantile__q_0.95_p24_rougher.input.feed_fe_poly_encod_val_rougher.input.feed_zn
0.01041,value__quantile__q_0.95_p120_rougher.input.feed_pb_diff_encod_val_rougher.input.feed_pb
0.01039,value__maximum_p6_rougher.input.feed_fe_rat_encod_val_primary_cleaner.input.copper_sulfate
0.01036,rougher.state.floatbank10_a_level_poly_rougher.input.floatbank10_xanthate
0.01034,deriv1_rougher.input.feed_rate
0.01034,rel_rougher.input.floatbank10_xanthate_s3b0
0.01034,encod_val_rougher.input.feed_fe_poly_value__quantile__q_0.95_p120_rougher.input.feed_fe
0.01033,value__quantile__q_0.05_p24_rougher.input.feed_sol
0.01008,deriv2_rougher.input.feed_pb
0.01008,rougher.input.floatbank11_xanthate
0.01001,value__maximum_p6_rougher.input.feed_fe
0.00988,value__quantile__q_0.95_p120_rougher.input.feed_pb_rat_encod_val_rougher.input.feed_pb
0.00978,encod_rel_rougher.input.feed_pb
0.00972,value__maximum_p6_rougher.input.feed_fe_diff_encod_dif_rougher.input.feed_pb
0.00971,encod_dif_rougher.input.feed_pb_poly_value__quantile__q_0.95_p24_rougher.input.feed_fe
0.00971,rougher.state.floatbank10_a_level_diff_value__quantile__q_0.95_p24_rougher.input.feed_fe
0.00968,value__min_slope_p120_rougher.input.feed_zn
0.00966,value__quantile__q_0.95_p24_rougher.input.feed_fe_diff_encod_val_rougher.input.feed_pb
0.00965,deriv2_rougher.input.floatbank10_xanthate
0.00962,rougher.state.floatbank10_a_level_diff_encod_val_rougher.input.feed_fe
0.00962,value__quantile__q_0.05_p12_rougher.input.feed_sol
0.00953,value__fft_aggregated__aggtype_variance_p120_rougher.input.feed_rate
0.00950,value__mean_abs_change_p24_rougher.state.floatbank10_b_air
0.00948,rougher.state.floatbank10_a_level_diff_rougher.input.feed_sol
0.00944,value__fft_aggregated__aggtype_skew_p120_rougher.input.floatbank11_xanthate
0.00942,value__quantile__q_0.95_p12_rougher.input.feed_fe
0.00942,encod_val_rougher.input.feed_zn_rat_value__quantile__q_0.95_p120_rougher.input.feed_fe
0.00937,value__maximum_p6_rougher.input.feed_fe_diff_encod_val_primary_cleaner.input.feed_size
0.00934,value__fft_aggregated__aggtype_variance_p120_rougher.input.floatbank10_copper_sulfate
0.00933,value__max_slope_p24_rougher.input.feed_sol
0.00931,value__kurtosis_p120_rougher.input.feed_zn
0.00930,value__fft_aggregated__aggtype_skew_p120_rougher.input.feed_pb
0.00926,value__max_slope_p6_rougher.input.floatbank11_xanthate
0.00915,value__max_slope_p12_rougher.input.feed_zn
0.00913,value__kurtosis_p120_rougher.input.floatbank10_copper_sulfate
0.00912,encod_dif_rougher.input.feed_pb_rat_value__quantile__q_0.95_p24_rougher.input.feed_fe
0.00904,rougher.input.feed_sol_rat_value__quantile__q_0.95_p120_rougher.input.feed_fe
0.00902,encod_val_rougher.input.feed_zn_diff_rougher.input.feed_sol
0.00899,encod_dif_rougher.input.feed_pb
0.00897,value__min_slope_p120_rougher.input.feed_sol
0.00896,encod_val_rougher.input.feed_fe_diff_value__quantile__q_0.95_p120_rougher.input.feed_fe
0.00890,value__minimum_p6_rougher.input.floatbank11_xanthate_diff_encod_dif_rougher.input.feed_pb
0.00879,value__kurtosis_p24_rougher.input.floatbank11_xanthate
0.00878,value__quantile__q_0.95_p24_rougher.input.feed_fe_rat_encod_val_rougher.input.feed_zn
0.00875,rougher.input.floatbank10_xanthate
0.00871,value__max_min_diff_p120_rougher.input.floatbank10_copper_sulfate
0.00851,encod_val_rougher.input.feed_fe
0.00847,value__min_slope_p24_rougher.input.floatbank11_xanthate
0.00845,encod_val_rougher.input.feed_zn_rat_value__quantile__q_0.95_p120_rougher.input.feed_pb
