feature_shap,feature
0.00220,deriv2_rougher.input.floatbank11_xanthate
0.00217,value__mean_second_derivative_central_p24_rougher.input.floatbank10_copper_sulfate
0.00214,deriv1_rougher.state.floatbank10_d_air
0.00212,diff_encod_dif_rougher.input.feed_fe_s2b0
0.00210,value__fft_aggregated__aggtype_centroid_p12_rougher.input.feed_sol
0.00201,value__kurtosis_p24_rougher.state.floatbank10_b_air
0.00198,value__fft_aggregated__aggtype_skew_p24_rougher.state.floatbank10_b_air
0.00198,deriv3_rougher.input.feed_sol
0.00190,value__mean_second_derivative_central_p120_rougher.input.feed_fe
0.00189,deriv2_rougher.state.floatbank10_c_level
0.00182,value__fft_aggregated__aggtype_variance_p12_rougher.input.feed_zn
0.00181,diff_rougher.input.feed_pb_s2b0
0.00179,diff_rougher.input.feed_pb_s3b1
0.00176,diff_rougher.state.floatbank10_d_air_s3b1
0.00175,rougher.state.floatbank10_d_level
0.00174,value__skewness_p12_rougher.input.feed_pb
0.00171,value__kurtosis_p12_rougher.input.feed_sol
0.00166,value__skewness_p24_rougher.input.feed_zn
0.00160,value__kurtosis_p12_rougher.input.feed_zn
0.00157,rel_encod_rel_rougher.input.feed_fe_s3b0
0.00154,value__mean_second_derivative_central_p12_rougher.input.feed_pb
0.00152,diff_rougher.input.floatbank10_copper_sulfate_s3b1
0.00148,deriv2_rougher.state.floatbank10_d_air
0.00147,diff_encod_rel_rougher.input.feed_fe_s2b0
0.00141,rel_rougher.input.floatbank11_copper_sulfate_s3b0
0.00140,value__fft_aggregated__aggtype_skew_p24_rougher.input.floatbank10_copper_sulfate
0.00140,diff_encod_dif_rougher.input.feed_fe_s3b1
0.00137,deriv3_encod_dif_rougher.input.feed_fe
0.00137,value__mean_second_derivative_central_p24_rougher.input.feed_sol
0.00127,deriv2_encod_val_rougher.input.feed_pb
0.00126,diff_encod_rel_rougher.input.feed_zn_s3b1
0.00125,value__fft_aggregated__aggtype_kurtosis_p12_rougher.input.feed_pb
0.00124,deriv3_rougher.input.feed_rate
0.00121,deriv1_rougher.input.floatbank10_copper_sulfate
0.00118,value__fft_aggregated__aggtype_kurtosis_p12_rougher.input.feed_zn
0.00117,value__fft_aggregated__aggtype_kurtosis_p12_rougher.input.floatbank11_xanthate
0.00117,rel_rougher.input.floatbank10_copper_sulfate_s3b0
0.00114,deriv3_rougher.state.floatbank10_d_level
0.00113,value__absolute_sum_of_changes_p6_rougher.input.feed_pb
0.00112,value__mean_second_derivative_central_p120_rougher.input.feed_pb
0.00109,diff_rougher.input.feed_size_s3b1
0.00108,value__mean_second_derivative_central_p24_rougher.input.floatbank11_xanthate
0.00106,value__linear_trend__attr_slope_p12_rougher.input.floatbank10_copper_sulfate
0.00105,diff_rougher.state.floatbank10_d_level_s2b0
0.00104,value__kurtosis_p12_rougher.input.feed_fe
0.00104,value__absolute_sum_of_changes_p6_rougher.input.floatbank11_xanthate
0.00103,diff_encod_val_rougher.input.feed_fe_s3b1
0.00103,deriv2_rougher.input.floatbank11_copper_sulfate
0.00084,deriv1_rougher.input.feed_size
0.00082,value__fft_aggregated__aggtype_kurtosis_p12_rougher.input.feed_fe
0.00081,value__mean_second_derivative_central_p120_rougher.input.floatbank11_xanthate
0.00072,deriv1_rougher.input.floatbank11_copper_sulfate
0.00071,value__fft_aggregated__aggtype_centroid_p24_rougher.input.feed_pb
0.00070,deriv3_rougher.input.feed_size
0.00070,value__mean_second_derivative_central_p120_rougher.input.feed_sol
0.00070,value__skewness_p12_rougher.state.floatbank10_b_air
0.00066,value__mean_second_derivative_central_p120_rougher.input.feed_zn
