feature_shap,feature
0.00913,value__kurtosis_p24_primary_cleaner.input.copper_sulfate
0.00911,value__mean_abs_change_p120_secondary_cleaner.state.floatbank5_a_air
0.00907,value__kurtosis_p24_rougher.input.feed_rate
0.00906,value__max_slope_p12_rougher.state.floatbank10_b_air
0.00905,deriv2_rougher.input.floatbank11_xanthate
0.00903,value__mean_abs_change_p120_rougher.input.feed_rate
0.00902,value__fft_aggregated__aggtype_centroid_p12_primary_cleaner.input.xanthate
0.00898,value__min_slope_p12_rougher.input.floatbank11_xanthate
0.00898,value__linear_trend__attr_slope_p24_rougher.input.feed_pb
0.00895,value__skewness_p120_rougher.input.floatbank11_xanthate
0.00894,value__max_min_diff_p120_secondary_cleaner.state.floatbank5_a_air
0.00893,value__max_min_diff_p24_rougher.input.feed_zn
0.00893,diff_rougher.input.feed_pb_s3b1
0.00890,value__fft_aggregated__aggtype_centroid_p120_rougher.input.feed_rate
0.00888,value__mean_p6_primary_cleaner.input.depressant
0.00888,value__mean_second_derivative_central_p120_primary_cleaner.input.xanthate
0.00887,value__fft_aggregated__aggtype_variance_p24_primary_cleaner.input.copper_sulfate
0.00887,value__fft_aggregated__aggtype_variance_p12_rougher.input.feed_rate
0.00885,value__skewness_p12_primary_cleaner.input.copper_sulfate
0.00884,value__min_slope_p24_primary_cleaner.state.floatbank8_a_air
0.00880,value__max_min_diff_p6_primary_cleaner.input.depressant
0.00877,value__min_slope_p24_primary_cleaner.input.feed_size
0.00876,value__fft_aggregated__aggtype_centroid_p120_secondary_cleaner.state.floatbank5_a_air
0.00872,rel_rougher.state.floatbank10_d_air_s3b0
0.00860,value__quantile__q_0.95_p12_rougher.input.floatbank10_copper_sulfate
0.00858,value__min_slope_p6_rougher.input.floatbank11_xanthate
0.00857,value__max_min_diff_p24_rougher.input.feed_sol
0.00857,value__fft_aggregated__aggtype_kurtosis_p120_primary_cleaner.input.xanthate
0.00854,value__quantile__q_0.05_p24_primary_cleaner.input.copper_sulfate
0.00849,value__mean_second_derivative_central_p12_primary_cleaner.input.copper_sulfate
0.00844,value__kurtosis_p24_primary_cleaner.input.xanthate
0.00842,value__quantile__q_0.95_p24_primary_cleaner.input.copper_sulfate
0.00841,value__linear_trend__attr_slope_p12_rougher.input.feed_fe
0.00837,value__min_slope_p6_rougher.input.feed_pb
0.00831,value__fft_aggregated__aggtype_variance_p120_primary_cleaner.input.feed_size
0.00830,value__max_min_diff_p120_rougher.input.feed_zn
0.00828,value__quantile__q_0.05_p120_rougher.input.floatbank10_copper_sulfate
0.00826,primary_cleaner.state.floatbank8_a_air_normalized
0.00825,value__linear_trend__attr_slope_p24_primary_cleaner.input.depressant
0.00823,secondary_cleaner.state.floatbank4_b_level
0.00818,value__fft_aggregated__aggtype_kurtosis_p24_primary_cleaner.input.xanthate
0.00809,value__mean_abs_change_p24_rougher.input.feed_sol
0.00807,value__quantile__q_0.05_p12_rougher.input.feed_sol
0.00803,value__max_min_diff_p24_primary_cleaner.input.feed_size
0.00799,value__skewness_p12_rougher.input.feed_rate
0.00798,value__quantile__q_0.95_p24_rougher.input.floatbank10_copper_sulfate
0.00797,value__mean_second_derivative_central_p120_primary_cleaner.input.feed_size
0.00797,value__fft_aggregated__aggtype_centroid_p24_secondary_cleaner.state.floatbank5_a_air
0.00795,value__fft_aggregated__aggtype_variance_p120_primary_cleaner.input.xanthate
0.00795,value__fft_aggregated__aggtype_kurtosis_p24_secondary_cleaner.state.floatbank5_a_air
0.00788,value__max_slope_p12_primary_cleaner.state.floatbank8_a_air
0.00786,value__max_slope_p120_primary_cleaner.input.xanthate
0.00785,value__skewness_p120_primary_cleaner.state.floatbank8_a_air
0.00784,value__quantile__q_0.95_p12_primary_cleaner.input.xanthate
0.00784,value__kurtosis_p24_rougher.state.floatbank10_b_air
0.00784,value__min_slope_p120_primary_cleaner.state.floatbank8_a_air
0.00783,value__fft_aggregated__aggtype_skew_p120_rougher.input.feed_zn
0.00779,value__max_min_diff_p120_primary_cleaner.state.floatbank8_a_air
0.00779,value__min_slope_p120_secondary_cleaner.state.floatbank5_a_air
0.00765,value__fft_aggregated__aggtype_variance_p24_primary_cleaner.input.xanthate
0.00764,diff_encod_rel_rougher.input.feed_zn_s2b0
0.00758,value__linear_trend__attr_slope_p120_primary_cleaner.input.copper_sulfate
0.00757,value__skewness_p12_rougher.input.feed_pb
0.00756,value__maximum_p6_rougher.input.feed_zn
0.00756,value__max_min_diff_p6_primary_cleaner.input.xanthate
